City,State,Location
New York,New York,40.6643°N 73.9385°W
Los Angeles,California,34.0194°N 118.4108°W
Chicago,Illinois,41.8376°N 87.6818°W
Houston,Texas,29.7805°N 95.3863°W
Philadelphia,Pennsylvania,40.0094°N 75.1333°W
Phoenix,Arizona,33.5722°N 112.0880°W
San Antonio,Texas,29.4724°N 98.5251°W
San Diego,California,32.8153°N 117.1350°W
Dallas,Texas,32.7757°N 96.7967°W
San Jose,California,37.2969°N 121.8193°W
Austin,Texas,30.3072°N 97.7560°W
Jacksonville,Florida,30.3370°N 81.6613°W
Indianapolis,Indiana,39.7767°N 86.1459°W
San Francisco,California,37.7751°N 122.4193°W
Columbus,Ohio,39.9848°N 82.9850°W
Fort Worth,Texas,32.7795°N 97.3463°W
Charlotte,North Carolina,35.2087°N 80.8307°W
Detroit,Michigan,42.3830°N 83.1022°W
El Paso,Texas,31.8484°N 106.4270°W
Memphis,Tennessee,35.1035°N 89.9785°W
Boston,Massachusetts,42.3320°N 71.0202°W
Boston,Washington,47.6205°N 122.3509°W
Denver,Colorado,39.7618°N 104.8806°W
Washington,District of Columbia,38.9041°N 77.0171°W
Nashville,Tennessee,36.1718°N 86.7850°W
Baltimore,Maryland,39.3002°N 76.6105°W
Louisville,Kentucky,38.1781°N 85.6667°W
Portland,Oregon,45.5370°N 122.6500°W
Oklahoma,Oklahoma,35.4671°N 97.5137°W
Milwaukee,Wisconsin,43.0633°N 87.9667°W
Las Vagas,Nevada,36.2277°N 115.2640°W
Albuquerque,New Mexico,35.1056°N 106.6474°W
Tucson,Arizona,32.1543°N 110.8711°W
Fresno,California,36.7827°N 119.7945°W
Sacramento,California,38.5666°N 121.4686°W
Long Beach,California,33.8091°N 118.1553°W
Kansas City,Missouri,39.1252°N 94.5511°W
Mesa,Arizona,33.4019°N 111.7174°W
Virginia Beach,Virginia,36.7793°N 76.0240°W
Atlanta,Georgia,33.7629°N 84.4227°W
Colorado Springs,Colorado,38.8673°N 104.7607°W
Raleigh,North Carolina,35.8302°N 78.6414°W
Omaha,Nebraska,41.2647°N 96.0419°W
Miami,Florida,25.7752°N 80.2086°W
Oakland,California,37.7699°N 122.2256°W
Tulsa,Oklahoma,36.1279°N 95.9023°W
Omaha,Minnesota,44.9633°N 93.2683°W
Cleveland,Ohio,41.4781°N 81.6795°W
Omaha,Kansas,37.6907°N 97.3427°W
Arlington,Texas,32.7007°N 97.1247°W
Omaha,Louisiana,30.0686°N 89.9390°W
Bakersfield,California,35.3212°N 119.0183°W
Tampa,Florida,27.9701°N 82.4797°W
Honolulu,Hawai'i,21.3259°N 157.8453°W
Anaheim,California,33.8555°N 117.7601°W
Aurora,Colorado,32.7007°N 97.1247°W
Santa Ana,California,33.7365°N 117.8826°W
St. Louis,Missouri,38.6357°N 90.2446°W
Riverside,California,33.9381°N 117.3932°W
Corpus Christi,Texas,27.7543°N 97.1734°W
Pittsburgh,Pennsylvania,40.4398°N 79.9766°W
Lexington,Kentucky,38.0402°N 84.4584°W
Anchorage,Alaska,61.1775°N 149.2744°W
Stockton,California,37.9763°N 121.3133°W
Cincinnati,Ohio,39.1399°N 84.5064°W
Saint Paul,Minnesota,44.9489°N 93.1039°W
Toledo,Ohio,41.6641°N 83.5819°W
Newark,New Jersey,40.7242°N 74.1726°W
Greensboro,North Carolina,36.0965°N 79.8271°W
Plano,Texas,33.0508°N 96.7479°W
Henderson,Nevada,36.0122°N 115.0375°W
Lincoln,Nebraska,40.8090°N 96.6804°W
Buffalo,New York,42.8925°N 78.8597°W
Fort Wayne,Indiana,41.0882°N 85.1439°W
Jersey City,New Jersey,40.7114°N 74.0648°W
Chula Vista,California,32.6277°N 117.0152°W
Orlando,Florida,28.4159°N 81.2988°W
St. Petersburg,Florida,27.7620°N 82.6441°W
Norfolk,Virginia,36.9230°N 76.2446°W
Chandler,Arizona,33.2829°N 111.8549°W
Laredo,Texas,27.5477°N 99.4869°W
Madison,Wisconsin,43.0878°N 89.4301°W
Durham,North Carolina,35.9810°N 78.9056°W
Lubbock,Texas,33.5665°N 101.8867°W
Winston–Salem,North Carolina,36.1033°N 80.2606°W
Garland,Texas,32.9098°N 96.6304°W
Glendale,Arizona,33.5331°N 112.1899°W
